pitcher_id,pitcher_name,workload_category,mean_velo_dev,count
690829,Ben Joyce,Medium,0.022148560675340434,14
518553,Steve Cishek,High,0.12040104338410765,21
605463,Tayler Scott,Medium,0.047163699597295286,30
451584,Wade Davis,Medium,-0.03717428657604154,22
621053,Tyler Ferguson,High,0.34943543194485877,7
593619,Domingo Tapia,Low,-0.13237973484847315,5
595928,John Curtiss,Medium,-0.19444317768001837,25
458708,Josh Tomlin,Low,0.10465108978910546,13
673929,Jordan Leasure,Low,0.12788759420654472,8
606965,Chris Devenski,Medium,-0.0582099481206626,21
663986,Trevor Stephan,High,0.0903563025253199,27
622075,Yency Almonte,Low,0.02167203855000082,50
641394,Jake Brentz,Low,-0.07085698399100256,13
518617,Jake Diekman,High,-0.15550699570387252,20
663546,Sean Hjelle,Low,0.3121089068079684,10
605538,Matt Wisler,Low,0.48335275835276004,13
605538,Matt Wisler,Medium,-0.2296939988116465,17
669684,Chris Murphy,Medium,-0.09240370893799792,10
607755,Andrew Vasquez,Low,0.07058314234784936,11
571882,Derek Law,Medium,-0.08506492872378756,35
682842,Abner Uribe,Low,0.09104795764460505,7
489334,Craig Stammen,Low,0.12485232431507362,13
656793,Nick Nelson,Medium,-0.07315971362650257,27
592454,Tommy Kahnle,Low,0.16595614663625102,33
641360,Phil Bickford,High,0.20845968052835825,28
453265,Tony Watson,Medium,0.024488005403280715,35
642048,Tayler Saucedo,Medium,-0.04059710317198643,47
641360,Phil Bickford,Low,-0.05981922834637713,48
676714,Brandon Hughes,Medium,0.07068740323285594,32
657508,Mike Baumann,Medium,-0.06508065942373818,69
643338,Chad Green,Medium,-0.01801200871620609,66
458677,Justin Wilson,Low,-0.06872522681271075,52
663878,Nate Pearson,Low,0.09400974516731253,32
657024,Erik Swanson,Medium,-0.04274381372050009,126
663423,Trent Thornton,High,0.2802281860796297,7
641771,Chad Kuhl,Medium,0.08280096904440919,17
663423,Trent Thornton,Medium,0.07866198962805605,83
669622,Anthony Bender,Low,-0.014639101122480014,40
657031,Josh Taylor,Low,-0.0033284634085106292,35
667427,Zach Jackson,Medium,-0.06769180579632443,30
519293,Will Smith,Medium,-0.006635904529760216,122
656529,Sam Hentges,Low,0.014802052815067204,34
448855,Junior Guerra,Low,-0.20939211415428596,6
656529,Sam Hentges,Medium,0.03062178796864269,69
628708,Yunior Marte,High,0.04067278198127471,9
622503,Nabil Crismatt,Medium,-0.12419681733747723,39
661403,Emmanuel Clase,Low,0.10193087447354846,101
542888,Shawn Armstrong,Low,-0.17426740411600658,7
453284,Blake Parker,Low,0.24195489265256553,13
608723,Austin Voth,Low,0.09899244336516588,44
664875,Justin Lawrence,High,-0.07429679846115811,23
642048,Tayler Saucedo,Low,0.024754871028340973,51
656232,Brandon Bielak,Medium,-0.07010577582139711,18
666214,Joey Wentz,Medium,-0.09749435433879938,24
675916,James Karinchak,Low,-0.09730387812677155,34
656629,Michael Kopech,High,0.25638387123853573,6
656546,Jeff Hoffman,High,0.129508758153964,12
593833,Wander Suero,High,-0.21266507321055883,5
667427,Zach Jackson,High,0.7908735301405272,5
640451,Hunter Harvey,Medium,0.026863529681117233,90
676684,Will Vest,Low,-0.13759821120508872,44
453284,Blake Parker,Medium,-0.09290078738168717,28
669618,Joe Barlow,Medium,-0.0006924186924104939,15
669212,Eli Morgan,Low,0.026283060664669122,48
518813,Greg Holland,Low,0.09165009722898991,17
670174,Josh Winckowski,High,-0.043868996156163576,13
542914,Anthony Bass,Low,0.0667304589599264,54
701643,Grant Hartwig,Medium,-0.04667527385146286,15
445926,Jesse Chavez,High,-0.0010580265388085764,10
445926,Jesse Chavez,Low,0.04206854143598324,37
608717,Chris Stratton,Medium,0.028157030981598333,141
621053,Tyler Ferguson,Low,0.03604722449649752,14
656061,Albert Abreu,High,0.2062276439277353,16
642207,Devin Williams,Low,-0.06891435293189017,70
642152,Lou Trivino,Low,0.10632573887321616,42
669622,Anthony Bender,High,-0.1406509961204326,9
676254,Ryan Walker,High,-0.38129399200507097,10
641501,Tyler Danish,Low,-0.051652653990914864,12
702352,Spencer Bivens,Medium,-0.03922212956727833,16
543339,Daniel Hudson,Medium,-0.007058650967786255,63
503449,Wily Peralta,Medium,0.17752673462717894,13
502085,David Robertson,Low,-0.014662987161262908,64
544727,Jeurys Familia,High,-0.28000782527406043,5
640448,Kyle Finnegan,High,-0.03656701713312071,29
642207,Devin Williams,High,0.15811644972093486,16
679885,Justin Martinez,High,0.09177821321775477,14
545343,Louis Head,Low,0.24253895578105755,8
663485,Cole Sands,High,-0.3799783562688557,8
493603,Adam Ottavino,Medium,-0.015914452529032733,146
608718,Brent Suter,Medium,0.07090788357342588,97
663855,Jordan Hicks,Low,-0.06406479720883629,21
628452,Raisel Iglesias,Low,-0.08669552558247698,105
598286,Nick Ramirez,Medium,-0.19128589774425503,18
521230,Liam Hendriks,Low,0.015442912212576683,44
664776,Jake Cousins,Medium,0.13268147017789636,39
676979,Garrett Crochet,Low,0.0222014753423964,26
686539,Declan Cronin,High,-0.1547297436079352,6
663986,Trevor Stephan,Medium,-0.0927362413777229,97
608335,Kyle Funkhouser,Medium,0.09450661470455278,30
607179,Jordan Weems,Medium,0.06181618300065139,74
681911,Alex Vesia,Medium,-0.03365412559666794,130
688297,Chris Roycroft,Medium,0.2116694356536383,13
571946,Shelby Miller,Medium,0.008840256820917271,43
671922,Cade Smith,High,0.6644392796292369,8
523260,Joe Kelly,High,0.4079850686013297,6
664918,Kyle Keller,High,-0.4776206474480347,5
518553,Steve Cishek,Low,-0.06609553340840892,28
621383,Tanner Banks,Medium,0.13656913738924625,17
643316,Paul Fry,Low,0.11904360219047543,18
448855,Junior Guerra,Medium,0.27118640505360264,18
669387,Carmen Mlodzinski,Medium,-0.0646312097488682,20
608371,Lucas Sims,Low,-0.02685857623884251,61
617228,Hirokazu Sawamura,High,-0.23633727145674518,6
664126,Pete Fairbanks,Low,0.03499937091558237,57
675916,James Karinchak,Medium,0.023057029992606493,84
624522,Keegan Thompson,Low,0.012053300324652128,6
458708,Josh Tomlin,Medium,-0.05890660786260428,14
664208,Phil Maton,Medium,-0.012517194426212522,104
621366,Ryan Borucki,Low,-0.09264099188059507,14
656793,Nick Nelson,High,0.06299372224294757,5
621381,Matt Strahm,Low,0.11614040308349428,53
669438,Mason Englert,Medium,0.04883484570984109,16
656685,Brett Martin,Low,-0.09021654444822448,52
666808,Camilo Doval,High,0.3067365209177386,31
592741,Chasen Shreve,High,0.011071323135700103,6
543859,Michael Tonkin,Medium,-0.07098504298356045,54
642100,Gabe Speier,Low,-0.029008886170891406,37
622772,Jimmy Cordero,Medium,-0.038578166537073105,13
543766,Bryan Shaw,Low,-0.03984671459161132,43
608648,Tyler Duffey,Medium,0.07861051189049131,66
519326,Hunter Strickland,Low,0.2752045605865313,53
608371,Lucas Sims,Medium,0.03317487042668562,93
592155,Cam Booser,Medium,0.23095284822696627,20
664208,Phil Maton,High,-0.45813242172121804,14
621248,Ralph Garza,Low,-0.13063205226144703,10
672582,Angel Zerpa,Low,0.20322397344711673,26
518886,Craig Kimbrel,High,-0.22500403372286526,19
570666,Luis Cessa,Low,-0.1944596119929748,27
596112,Robert Stephenson,Medium,-0.07773991454039297,88
687330,Kevin Kelly,High,0.03138130836936455,10
542947,Richard Bleier,Medium,-0.15959266158411275,62
608718,Brent Suter,High,-0.311929438610823,20
622253,Dillon Tate,Low,0.44817187495893285,55
